,om,yr,mo,dy,date,time,tz,st,stf,stn,f,inj,fat,loss,closs,slat,slon,elat,elon,len,wid,ns,sn,sg,f1,f2,f3,f4,touchdown,has_warning,has_watch,warning_time,pop_dens
1,1,1950,1,3,1950-01-03,11:00:00,3,MO,29,1,3,3,0,6.0,0.0,38.77,-90.22,38.82,-90.12,6.2,150,2,1,2,189,0,0,0,1950-01-03 17:00:00,False,False,0,0.00030896477345984804
2,1,1950,1,3,1950-01-03,11:10:00,3,IL,17,1,3,0,0,5.0,0.0,38.82,-90.12,38.83,-90.03,3.3,100,2,1,2,119,0,0,0,1950-01-03 17:10:00,False,False,0,9.836633039630123e-05
3,2,1950,1,3,1950-01-03,11:55:00,3,IL,17,2,3,3,0,5.0,0.0,39.1,-89.3,39.12,-89.23,3.6,130,1,1,1,135,0,0,0,1950-01-03 17:55:00,False,False,0,1.7810312608741292e-05
5,4,1950,1,13,1950-01-13,05:25:00,3,AR,5,1,3,1,1,3.0,0.0,34.4,-94.37,0.0,0.0,0.6,17,1,1,1,113,0,0,0,1950-01-13 11:25:00,False,False,0,6.384325534553169e-06
10,9,1950,2,11,1950-02-11,13:50:00,3,TX,48,3,3,12,1,4.0,0.0,29.67,-95.05,29.83,-95.0,12.0,1000,1,1,1,201,0,0,0,1950-02-11 19:50:00,False,False,0,0.00018284303113957204
17,18,1950,2,12,1950-02-12,12:00:00,3,TX,48,10,3,15,3,5.0,0.0,31.8,-94.2,31.8,-94.18,1.9,50,1,1,1,419,0,0,0,1950-02-12 18:00:00,False,False,0,1.1394522507390073e-05
21,20,1950,2,12,1950-02-12,13:00:00,3,LA,22,1,4,77,18,5.0,0.0,31.97,-94.0,33.0,-93.3,82.6,100,1,1,1,31,17,15,119,1950-02-12 19:00:00,False,False,0,3.3530462940553235e-05
23,22,1950,2,12,1950-02-12,14:00:00,3,LA,22,4,3,25,5,5.0,0.0,31.63,-93.65,32.55,-93.03,74.5,100,1,1,1,85,69,81,13,1950-02-12 20:00:00,False,False,0,1.049708574281928e-05
36,34,1950,3,26,1950-03-26,19:31:00,3,AR,5,5,3,1,0,5.0,0.0,36.15,-91.83,36.2,-91.75,5.7,200,1,1,1,65,0,0,0,1950-03-27 01:31:00,False,False,0,6.619067156716871e-06
38,36,1950,3,26,1950-03-26,21:15:00,3,AR,5,7,3,20,0,5.0,0.0,34.98,-91.73,35.08,-91.5,14.9,1760,1,1,1,117,0,0,0,1950-03-27 03:15:00,False,False,0,8.204009157695428e-06
53,49,1950,4,2,1950-04-02,15:30:00,3,AR,5,9,3,8,1,3.0,0.0,35.75,-91.22,0.0,0.0,2.5,10,1,1,1,67,0,0,0,1950-04-02 21:30:00,False,False,0,1.5781786624977738e-05
57,53,1950,4,18,1950-04-18,01:30:00,3,AL,1,1,3,15,0,4.0,0.0,30.67,-88.2,30.85,-88.1,14.0,100,1,1,1,97,0,0,0,1950-04-18 07:30:00,False,False,0,7.257814356864838e-05
61,57,1950,4,28,1950-04-28,14:17:00,3,OK,40,5,3,1,1,5.0,0.0,34.88,-99.28,35.17,-99.2,20.8,400,1,1,1,75,149,0,0,1950-04-28 20:17:00,False,False,0,6.9980318086708695e-06
63,59,1950,4,28,1950-04-28,18:00:00,3,TX,48,11,4,5,5,5.0,0.0,32.42,-99.5,32.42,-99.48,1.3,233,1,1,1,59,0,0,0,1950-04-29 00:00:00,False,False,0,3.90106609941671e-06
64,60,1950,4,28,1950-04-28,19:05:00,3,OK,40,6,4,32,5,5.0,0.0,35.08,-96.4,35.13,-96.35,4.5,200,1,1,1,63,0,0,0,1950-04-29 01:05:00,False,False,0,9.915427644916008e-06
83,79,1950,5,4,1950-05-04,23:10:00,3,KS,20,3,4,1,0,5.0,0.0,38.03,-99.12,38.45,-98.78,34.3,150,1,1,1,9,145,0,0,1950-05-05 05:10:00,False,False,0,9.584312693570247e-06
84,80,1950,5,5,1950-05-05,03:30:00,3,KS,20,4,3,12,0,5.0,0.0,39.62,-95.62,39.85,-95.52,17.3,440,1,1,1,85,13,0,0,1950-05-05 09:30:00,False,False,0,8.101893322133696e-06
114,110,1950,5,18,1950-05-18,19:00:00,3,KS,20,12,3,2,0,5.0,0.0,38.12,-96.82,38.33,-96.82,14.9,100,1,1,1,17,0,0,0,1950-05-19 01:00:00,False,False,0,2.4128255879259592e-06
129,125,1950,6,3,1950-06-03,01:00:00,3,MS,28,13,3,1,2,0.0,0.0,33.08,-89.58,0.0,0.0,2.0,50,1,1,1,7,0,0,0,1950-06-03 07:00:00,False,False,0,1.4000881163516595e-05
132,128,1950,6,5,1950-06-05,15:55:00,3,TX,48,18,3,6,0,5.0,0.0,30.18,-96.4,30.02,-96.05,23.9,67,1,1,1,477,0,0,0,1950-06-05 21:55:00,False,False,0,1.3132320169313056e-05
136,132,1950,6,8,1950-06-08,20:10:00,3,KS,20,18,4,5,1,5.0,0.0,38.33,-97.93,38.33,-97.6,17.1,700,1,1,1,159,113,0,0,1950-06-09 02:10:00,False,False,0,9.34172984982074e-06
140,136,1950,6,13,1950-06-13,11:05:00,3,ND,38,1,3,0,0,5.0,0.0,46.8,-97.92,0.0,0.0,2.0,10,1,1,1,17,0,0,0,1950-06-13 17:05:00,False,False,0,1.2880083332837527e-05
143,139,1950,6,14,1950-06-14,17:00:00,3,ND,38,2,3,0,0,4.0,0.0,48.92,-103.77,48.78,-103.28,23.7,10,1,1,1,23,0,0,0,1950-06-14 23:00:00,False,False,0,1.8273293212461766e-06
146,142,1950,6,15,1950-06-15,20:00:00,3,IA,19,3,3,5,0,0.0,0.0,41.98,-93.6,41.97,-93.48,5.6,300,1,1,1,169,0,0,0,1950-06-16 02:00:00,False,False,0,2.985589981270785e-05
154,150,1950,6,25,1950-06-25,21:00:00,3,WI,55,4,4,12,2,5.0,0.0,45.58,-89.58,45.67,-89.33,13.1,880,1,1,1,85,0,0,0,1950-06-26 03:00:00,False,False,0,7.1630308158817125e-06
156,152,1950,6,25,1950-06-25,23:30:00,3,WI,55,5,3,0,0,5.0,0.0,43.95,-88.95,43.97,-88.93,0.1,300,1,1,1,47,0,0,0,1950-06-26 05:30:00,False,False,0,1.6296562279135878e-05
168,164,1950,7,15,1950-07-15,17:30:00,3,NE,31,5,4,33,0,6.0,0.0,41.8,-96.6,41.73,-96.42,10.0,440,1,1,1,21,0,0,0,1950-07-15 23:30:00,False,False,0,9.060708170294486e-06
172,169,1950,7,19,1950-07-19,15:15:00,3,OH,39,3,3,30,0,6.0,0.0,40.72,-84.08,40.83,-83.97,9.7,300,1,1,1,3,0,0,0,1950-07-19 21:15:00,False,False,0,8.459134512846445e-05
197,193,1950,10,9,1950-10-09,02:15:00,3,NC,37,9,3,3,0,5.0,0.0,34.17,-78.6,0.0,0.0,2.0,880,1,1,1,47,0,0,0,1950-10-09 08:15:00,False,False,0,2.085247035938595e-05
198,194,1950,11,4,1950-11-04,17:00:00,3,PA,42,5,3,1,0,5.0,0.0,40.2,-76.12,40.4,-75.93,15.9,100,1,1,1,71,11,0,0,1950-11-04 23:00:00,False,False,0,0.00010518511244648218
203,199,1950,12,2,1950-12-02,16:00:00,3,IL,17,8,3,25,2,6.0,0.0,38.75,-89.67,38.9,-89.38,18.0,200,1,1,1,119,5,0,0,1950-12-02 22:00:00,False,False,0,6.921972167394816e-05
204,200,1950,12,2,1950-12-02,16:25:00,3,AR,5,12,3,0,0,1.0,0.0,36.12,-91.83,36.18,-91.72,7.8,10,1,1,1,65,0,0,0,1950-12-02 22:25:00,False,False,0,6.619067156716871e-06
206,1,1951,1,6,1951-01-06,17:30:00,3,LA,22,1,3,11,0,5.0,0.0,31.3,-92.47,31.53,-92.4,16.8,317,1,1,1,79,43,0,0,1951-01-06 23:30:00,False,False,0,2.0656100948663257e-05
215,9,1951,2,20,1951-02-20,15:00:00,3,MS,28,1,3,1,1,3.0,0.0,33.45,-88.87,0.0,0.0,0.1,10,1,1,1,105,0,0,0,1951-02-20 21:00:00,False,False,0,2.0703040574481073e-05
233,27,1951,4,21,1951-04-21,19:25:00,3,MS,28,3,3,16,2,4.0,0.0,31.68,-89.25,32.15,-89.12,33.5,10,1,1,1,67,61,0,0,1951-04-22 01:25:00,False,False,0,2.1443988660674952e-05
245,39,1951,4,30,1951-04-30,05:30:00,3,KS,20,8,3,0,0,5.0,0.0,37.63,-98.75,37.77,-98.58,12.8,440,1,1,1,151,0,0,0,1951-04-30 11:30:00,False,False,0,6.38526811782849e-06
248,42,1951,4,30,1951-04-30,21:30:00,3,OK,40,12,3,0,0,5.0,0.0,35.43,-97.58,35.5,-97.48,7.4,200,1,1,1,109,0,0,0,1951-05-01 03:30:00,False,False,0,0.00017722315776972256
268,62,1951,5,14,1951-05-14,19:30:00,3,KS,20,18,3,4,0,3.0,0.0,39.78,-101.33,0.0,0.0,0.1,10,1,1,1,153,0,0,0,1951-05-15 01:30:00,False,False,0,2.068037422452789e-06
272,66,1951,5,18,1951-05-18,15:45:00,3,TX,48,5,4,100,2,6.0,0.0,33.42,-98.75,0.0,0.0,2.0,200,1,1,1,503,0,0,0,1951-05-18 21:45:00,False,False,0,7.097438644338114e-06
282,76,1951,5,20,1951-05-20,19:00:00,3,KS,20,19,3,0,0,5.0,0.0,37.9,-101.2,38.02,-101.02,12.8,900,1,1,1,93,55,0,0,1951-05-21 01:00:00,False,False,0,3.3027790208261414e-06
284,78,1951,5,20,1951-05-20,19:00:00,3,KS,20,21,3,0,0,2.0,0.0,39.78,-101.38,0.0,0.0,0.1,10,1,1,1,153,0,0,0,1951-05-21 01:00:00,False,False,0,2.068037422452789e-06
291,85,1951,5,25,1951-05-25,16:00:00,3,KS,20,25,3,0,1,5.0,0.0,39.27,-97.18,39.32,-97.13,4.1,440,1,1,1,27,0,0,0,1951-05-25 22:00:00,False,False,0,6.998650977564741e-06
310,104,1951,6,1,1951-06-01,21:15:00,3,IA,19,1,3,7,0,0.0,0.0,42.07,-92.92,0.0,0.0,1.5,880,1,1,1,127,0,0,0,1951-06-02 03:15:00,False,False,0,2.4016525635665424e-05
321,112,1951,6,6,1951-06-06,19:30:00,3,KS,20,39,3,3,0,4.0,0.0,37.58,-101.37,37.03,-100.93,44.8,10,1,1,1,67,81,175,0,1951-06-07 01:30:00,False,False,0,3.7097143240599853e-06
324,118,1951,6,6,1951-06-06,20:06:00,3,TX,48,10,3,12,0,5.0,0.0,35.43,-101.18,35.32,-101.07,10.4,100,1,1,1,65,0,0,0,1951-06-07 02:06:00,False,False,0,2.8749334070787596e-06
