STCOU,Land_mass
00000,3787425.08
01000,52422.94
01001,604.49
01003,2027.08
01005,904.59
01007,625.5
01009,650.65
01011,626.11
01013,777.99
01015,612.35
01017,603.15
01019,600
01021,700.8
01023,920.91
01025,1252.6
01027,606.05
01029,561.06
01031,680.52
01033,623.66
01035,852.58
01037,666.41
01039,1043.95
01041,610.91
01043,754.86
01045,562.72
01047,993.46
01049,778.71
01051,657.26
01053,953.04
01055,548.81
01057,629.38
01059,646.55
01061,578.96
01063,659.99
01065,656.52
01067,568.38
01069,581.71
01071,1126.82
01073,1123.87
01075,605.51
01077,718.84
01079,718.13
01081,615.61
01083,607.12
01085,725.09
01087,613.29
01089,812.89
01091,982.92
01093,743.62
01095,623.21
01097,1644.14
01099,1034.62
01101,799.81
01103,599.09
01105,724.13
01107,890.1
01109,672.15
01111,584.15
01113,647.44
01115,653.66
01117,809.6
01119,913.35
01121,760.32
01123,766.3
01125,1352.03
01127,805.36
01129,1088.62
01131,907.54
01133,631.9
02000,656424.14
02013,15011.77
02016,14114.7
02020,1961.51
02050,45954.59
02060,917.61
02068,0
02070,20613.12
02090,7443.68
02100,2754.1
02105,17500.23
02110,3081.12
02122,21664.33
02130,1743.55
02150,11845.9
02164,29008.24
02170,25232.41
02180,28276.17
02185,93823.1
02188,40660.96
02195,8973.77
02198,12566.41
02220,4849.75
02230,0
02240,26235.44
02261,43515.67
02270,19680.08
02275,0
02282,0
02290,158995.95
04000,114006.26
04001,11219.17
04003,6219.32
04005,18662.57
04007,4796.14
04009,4641.47
04011,1848.55
04012,4513.66
04013,9224.86
04015,13470.5
04017,9960.22
04019,9189.44
04021,5374.49
04023,1238.22
04025,8128.33
04027,5519.32
05000,53182.36
05001,1033.85
05003,939.16
05005,586.78
05007,876.82
05009,601.86
05011,654.43
05013,632.59
05015,642.33
05017,690.93
05019,882.68
05021,641.47
05023,591.95
05025,598.84
05027,766.94
05029,566.71
05031,713.03
05033,604.24
05035,636.73
05037,622.38
05039,668.21
05041,819.57
05043,835.71
05045,664.05
05047,619.72
05049,620.36
05051,734.61
05053,633.06
05055,579.69
05057,741.42
05059,622.2
05061,595.24
05063,771.64
05065,584.07
05067,641.5
05069,913.75
05071,682.78
05073,545.11
05075,592.39
05077,619.5
05079,572.21
05081,564.9
05083,731.55
05085,802.48
05087,837.13
05089,640.38
05091,637.53
05093,919.8
05095,621.46
05097,800.34
05099,620.83
05101,823.24
05103,739.7
05105,560.51
05107,727.34
05109,613.93
05111,763.44
05113,862.47
05115,830.84
05117,675.81
05119,807.91
05121,656.08
05123,642.44
05125,730.5
05127,898.15
05129,668.56
05131,546.07
05133,581.38
05135,606.39
05137,609.47
05139,1055.36
05141,724.36
05143,956.07
05145,1042.43
05147,594.09
05149,948.89
06000,163707.15
06001,821.26
06003,743.23
06005,604.26
06007,1677.22
06009,1036.92
06011,1156.32
06013,802.18
06015,1229.84
06017,1791.29
06019,6017.89
06021,1327.25
06023,4052.52
06025,4482.08
06027,10227.75
06029,8162.03
06031,1391.58
06033,1329.59
06035,4720.61
06037,4752.32
06039,2153.39
06041,828.22
06043,1462.89
06045,3878.5
06047,1972.02
06049,4203.62
06051,3131.89
06053,3771.11
06055,788.34
06057,974.54
06059,947.91
06061,1500.24
06063,2613.75
06065,7303.81
06067,995.65
06069,1390.81
06071,20106.39
06073,4525.92
06075,231.89
06077,1426.37
06079,3615.73
06081,741.07
06083,3789.56
06085,1304.53
06087,607.72
06089,3847.61
06091,962.03
06093,6347.81
06095,906.85
06097,1768.35
06099,1514.8
06101,608.86
06103,2962.3
06105,3207.79
06107,4839.41
06109,2274.52
06111,2208.36
06113,1022.87
06115,643.55
08000,104100.32
08001,1197.83
08003,723.59
08005,805.47
08007,1354.65
08009,2557.24
08011,1541.25
08013,751.4
08014,0
08015,1015.07
08017,1781.5
08019,396.47
08021,1290.99
08023,1230.55
08025,800.38
08027,739.95
08029,1148.61
08031,154.88
08033,1068.14
08035,842.81
08037,1691.89
08039,1851.01
08041,2129.71
08043,1534.06
08045,2956.08
08047,150.26
08049,1869.7
08051,3259.94
08053,1123.22
08055,1593.36
08057,1621.05
08059,778.2
08061,1785.87
08063,2161.71
08065,383.93
08067,1700.03
08069,2634
08071,4775.74
08073,2586.56
08075,1844.96
08077,3341.28
08079,877.82
08081,4751.21
08083,2040.08
08085,2242.71
08087,1293.97
08089,1269.81
08091,542.26
08093,2210.82
08095,687.78
08097,973.28
08099,1644.46
08101,2397.86
08103,3223.1
08105,913.13
08107,2368.19
08109,3170.46
08111,388.31
08113,1288.54
08115,549.64
08117,619.29
08119,558.99
08121,2524.29
08123,4021.76
08125,2369.22
09000,5543.65
09001,837.01
09003,750.61
09005,944.63
09007,439.07
09009,862.06
09011,771.71
09013,417.03
09015,521.51
10000,2489.38
10001,800.14
10003,493.53
10005,1195.7
11000,68.36
11001,68.36
12000,65758.08
12001,969.18
12003,588.92
12005,1033.35
12007,300.06
12009,1557.25
12011,1319.74
12013,574.38
12015,859.28
12017,773.24
12019,643.73
12021,2305.09
12023,801.12
12027,639.55
12029,863.71
12031,918.28
12033,893.94
12035,570.79
12037,1026.45
12039,528.51
12041,355.49
12043,986.19
12045,755.78
12047,519.35
12049,638.38
12051,1189.89
12053,589.12
12055,1106.36
12057,1266.36
12059,488.75
12061,616.97
12063,954.67
12065,636.68
12067,547.96
12069,1156.51
12071,1212
12073,701.83
12075,1412.41
12077,843.22
12079,715.89
12081,892.84
12083,1663.1
12085,752.86
12086,2429.59
12087,3737.42
12089,725.9
12091,1082.09
12093,891.98
12095,1004.31
12097,1506.49
12099,2386.53
12101,868.02
12103,607.75
12105,2010.19
12107,827.22
12109,821.47
12111,688.13
12113,1155.31
12115,725.27
12117,344.9
12119,580.35
12121,691.94
12123,1232.05
12125,249.72
12127,1432.51
12129,735.78
12131,1238.13
12133,615.84
13000,59441.22
13001,512.15
13003,344.12
13005,285.94
13007,349.19
13009,267.52
13011,233.88
13013,162.85
13015,470.56
13017,254.04
13019,457.81
13021,255.17
13023,219.14
13025,447.44
13027,497.81
13029,454.54
13031,688.92
13033,835.06
13035,190.02
13037,283.59
13039,782.52
13043,248.85
13045,503.86
13047,162.67
13049,783.01
13051,646.32
13053,251.19
13055,313.97
13057,434.03
13059,121.29
13061,217.01
13063,144.29
13065,824.24
13067,344.54
13069,602.67
13071,556.59
13073,307.8
13075,233.24
13077,446.01
13079,326.48
13081,281.21
13083,174.1
13085,213.95
13087,623.2
13089,270.94
13091,503.2
13093,397.15
13095,334.67
13097,200.27
13099,516.31
13101,420.83
13103,482.89
13105,374.57
13107,690.4
13109,186.9
13111,391.46
13113,199.27
13115,518.5
13117,247.38
13119,266.38
13121,534.59
13123,431.85
13125,144.46
13127,583.07
13129,357.63
13131,460.37
13133,406.28
13135,436.74
13137,279.21
13139,429.21
13141,478.8
13143,283.19
13145,472.97
13147,256.43
13149,301.11
13151,324.49
13153,379.87
13155,362.75
13157,343.02
13159,373.6
13161,335.46
13163,529.6
13165,352.48
13167,306.54
13169,395.41
13171,185.81
13173,199.84
13175,818.56
13177,362.03
13179,602.58
13181,257.31
13183,403.53
13185,510.66
13187,284.89
13189,266.32
13191,574.76
13193,405.99
13195,285.6
13197,367.53
13199,505.39
13201,283.74
13205,513.84
13207,397.83
13209,247.34
13211,354.62
13213,346.9
13215,221.02
13217,279.21
13219,186.15
13221,442.2
13223,315.09
13225,151.47
13227,232.8
13229,343.67
13231,219.45
13233,312.16
13235,249.87
13237,360.66
13239,160.93
13241,377.01
13243,430.92
13245,328.5
13247,132.13
13249,167.83
13251,655.66
13253,256.58
13255,199.61
13257,184.24
13259,463.26
13261,492.58
13263,394.77
13265,195.48
13267,488.27
13269,379.65
13271,444.12
13273,337.65
13275,552.13
13277,268.88
13279,368.67
13281,171.87
13283,202.22
13285,445.99
13287,289.87
13289,362.92
13291,329.19
13293,327.67
13295,446.74
13297,330.07
13299,906.62
13301,286.76
13303,684.43
13305,648.85
13307,210.27
13309,300.16
13311,242.18
13313,290.68
13315,383.32
13317,474.03
13319,452.03
13321,574.61
15000,10931.58
15001,5086.97
15003,2126.98
15005,52.33
15007,1266.45
15009,2398.87
16000,83573.77
16001,1060.38
16003,1370.11
16005,1147.5
16007,1049.49
16009,784.01
16011,2120.34
16013,2661.14
16015,1906.81
16017,1919.62
16019,1900.74
16021,1278.2
16023,2233.66
16025,1079.06
16027,603.52
16029,1798.73
16031,2580.45
16033,1765.28
16035,2488.26
16037,4936.92
16039,3100.69
16041,668.4
16043,1895.67
16045,565.77
16047,733.89
16049,8502.78
16051,1105.62
16053,601.91
16055,1315.77
16057,1076.94
16059,4569.68
16061,479.83
16063,1205.92
16065,473.39
16067,763.03
16069,856.4
16071,1201.69
16073,7697.11
16075,410.19
16077,1442.69
16079,2635.6
16081,450.6
16083,1928.57
16085,3733.85
16087,1473.6
17000,57917.84
17001,871.32
17003,252.55
17005,382.67
17007,281.96
17009,307.26
17011,873.36
17013,283.71
17015,465.81
17017,383.76
17019,997.56
17021,715.71
17023,504.91
17025,469.87
17027,503.5
17029,510.1
17031,1634.89
17033,445.77
17035,347.02
17037,635.02
17039,405.18
17041,417.44
17043,336.87
17045,624.22
17047,222.67
17049,479.93
17051,725.39
17053,486.44
17055,431.42
17057,882.66
17059,328.42
17061,546.37
17063,430.44
17065,435.86
17067,814.58
17069,181.54
17071,395.15
17073,825.64
17075,1118.11
17077,602.54
17079,498.06
17081,583.74
17083,377.05
17085,618.79
17087,348.89
17089,524.12
17091,681.49
17093,322.69
17095,719.74
17097,1368.05
17099,1148.12
17101,373.97
17103,729.34
17105,1045.49
17107,619.04
17109,590.06
17111,611.18
17113,1186.33
17115,585.4
17117,867.65
17119,740.39
17121,575.73
17123,398.53
17125,563.41
17127,242.13
17129,315.4
17131,568.91
17133,397.73
17135,709.79
17137,572.29
17139,344.48
17141,763.33
17143,630.91
17145,446.84
17147,440.35
17149,848.92
17151,374.65
17153,203.34
17155,172.25
17157,597.29
17159,362.03
17161,451.19
17163,673.99
17165,386.99
17167,877.11
17169,441.43
17171,252.79
17173,768.09
17175,288.23
17177,564.78
17179,657.94
17181,422.15
17183,902.18
17185,227.78
17187,543.21
17189,564.15
17191,715.6
17193,501.72
17195,697.06
17197,849.45
17199,444.4
17201,519.33
17203,542.78
18000,36420.09
18001,339.95
18003,660.14
18005,409.38
18007,406.42
18009,165.42
18011,423.31
18013,316.65
18015,375.06
18017,414.95
18019,376.23
18021,360.42
18023,405.3
18025,308.87
18027,436.89
18029,307.08
18031,373.44
18033,363.87
18035,395.95
18037,435.25
18039,467.87
18041,215.14
18043,148.33
18045,397.95
18047,391.36
18049,371.39
18051,499.08
18053,414.84
18055,545.95
18057,402.75
18059,306.75
18061,486.91
18063,408.9
18065,394.93
18067,293.94
18069,387.95
18071,513.79
18073,561.26
18075,383.84
18077,362.97
18079,378.38
18081,321.58
18083,524.08
18085,554.36
18087,386.73
18089,626.38
18091,613.09
18093,452.1
18095,452.94
18097,403.11
18099,449.95
18101,340.55
18103,377.38
18105,411.34
18107,505.39
18109,409.41
18111,403.56
18113,417.63
18115,87.48
18117,408.23
18119,387.85
18121,450.12
18123,386.36
18125,341.1
18127,521.64
18129,419.47
18131,434.59
18133,482.61
18135,453.27
18137,447.95
18139,408.65
18141,460.97
18143,192.74
18145,413.14
18147,401.26
18149,312.33
18151,322.5
18153,454.08
18155,223.54
18157,503.12
18159,260.43
18161,165.26
18163,235.76
18165,259.95
18167,410.5
18169,421.1
18171,366.63
18173,390.87
18175,516.57
18177,404.38
18179,370.43
18181,508.82
18183,337.91
19000,56275.54
19001,570.33
19003,425.42
19005,658.75
19007,516.39
19009,443.6
19011,718.52
19013,571.96
19015,573.54
19017,439.64
19019,573.38
19021,580.1
19023,581.6
19025,572.33
19027,570.27
19029,565.03
19031,582.01
19033,575.18
19035,577.38
19037,505.53
19039,431.75
19041,572.56
19043,792.85
